# SEGGER J-Link RTT Viewer V9.42 Terminal Log File
# Compiled: 12:32:47 on May  6 2026
# Logging started @ 11 May 2026 08:38:47
00> 1.0000, 89.2468, 0.0234, 0.0124, 400.0000, 35.08, 64.83, 1
00> 1.0000, 88.6956, 0.0227, 0.0121, 400.0000, 35.13, 65.00, 1
00> 1.0000, 88.2674, 0.0220, 0.0117, 400.0000, 35.14, 64.79, 1
00> 1.0000, 87.7198, 0.0214, 0.0114, 400.0000, 35.17, 64.69, 1
00> 1.0000, 87.1327, 0.0209, 0.0111, 400.0000, 35.19, 64.59, 1
00> 1.0000, 86.5835, 0.0204, 0.0108, 400.0000, 35.21, 64.51, 1
00> 1.0000, 86.2768, 0.0200, 0.0106, 400.0000, 35.22, 64.83, 1
00> 1.0000, 85.9219, 0.0196, 0.0104, 400.0000, 35.24, 64.73, 1
00> 1.0000, 85.4717, 0.0192, 0.0102, 400.0000, 35.26, 64.65, 1
00> 1.0000, 84.9675, 0.0189, 0.0100, 400.0000, 35.29, 64.54, 1
00> 1.0000, 84.4491, 0.0186, 0.0099, 400.0000, 35.31, 64.38, 1
00> 1.0000, 83.8388, 0.0183, 0.0097, 400.0000, 35.32, 64.27, 1
00> 1.0000, 83.2741, 0.0181, 0.0096, 400.0000, 35.32, 64.19, 1
00> 1.0000, 82.6649, 0.0179, 0.0095, 400.0000, 35.35, 64.13, 1
00> 1.0000, 82.0840, 0.0177, 0.0094, 400.0000, 35.35, 64.06, 1
00> 1.0000, 81.5113, 0.0175, 0.0093, 400.0000, 35.36, 63.92, 1
00> 1.0000, 80.9673, 0.0173, 0.0092, 400.0000, 35.39, 63.85, 1
00> 1.0000, 80.4012, 0.0172, 0.0091, 400.0000, 35.40, 63.82, 1
00> 1.0000, 79.8706, 0.0170, 0.0091, 400.0000, 35.42, 63.78, 1
00> 1.0000, 79.3516, 0.0169, 0.0090, 400.0000, 35.43, 63.69, 1
00> 1.0000, 78.8836, 0.0168, 0.0089, 400.0000, 35.45, 63.66, 1
00> 1.0000, 78.4578, 0.0167, 0.0089, 400.0000, 35.47, 63.61, 1
00> 1.0000, 78.0831, 0.0166, 0.0088, 400.0000, 35.46, 63.84, 1
00> 1.0000, 77.7937, 0.0166, 0.0088, 400.0000, 35.47, 64.01, 1
00> 1.0000, 77.4754, 0.0165, 0.0088, 400.0000, 35.50, 63.78, 1
00> 1.0000, 79.6150, 0.0164, 0.0087, 400.0000, 35.61, 71.34, 1
